sh_id	original_fasta_id_count	original_fasta_ids	qub_id_count	qub_ids	sequence_identifier_count	sequence_identifiers
SH_0398	1	JDP762_61777621_B2	1	QUB_0611	1	QUB_27F_0611
SH_0399	3	JDP762_61777621_B3; JTQ735_65947358_65947358; JTQ736_65947365_65947365	1	QUB_0612	1	QUB_27F_0612
SH_0400	1	JDP762_61777621_B4	1	QUB_0613	1	QUB_27F_0613
SH_0401	1	JDP762_61777621_B5	0		0	
SH_0402	1	JDP762_61777621_B6	1	QUB_0614	1	QUB_27F_0614
SH_0403	1	JDP762_61777621_B7	1	QUB_0615	1	QUB_27F_0615
SH_0404	1	JDP762_61777621_B8	1	QUB_0616	1	QUB_27F_0616
SH_0405	1	JDP762_61777621_C1	0		0	
SH_0406	1	JDP762_61777621_C2	1	QUB_0619	1	QUB_27F_0619
SH_0407	1	JDP762_61777621_C3	1	QUB_0620	1	QUB_27F_0620
SH_0408	3	JDP762_61777621_C4; JTQ696_65946962_65946962; JTQ697_65946979_65946979	1	QUB_0621	1	QUB_27F_0621
SH_0409	1	JDP762_61777621_C5	0		0	
SH_0410	1	IWS771_59987711_59987711	1	QUB_0526	1	QUB_27F_0526
SH_0411	1	JDP762_61777621_C6	1	QUB_0622	1	QUB_27F_0622
SH_0412	1	JDP762_61777621_C7	1	QUB_0623	1	QUB_27F_0623
SH_0413	1	JDP762_61777621_D1	1	QUB_0625	1	QUB_27F_0625
SH_0414	1	JDP762_61777621_D2	1	QUB_0628	1	QUB_27F_0628
SH_0415	1	JDP762_61777621_D3	1	QUB_0629	1	QUB_27F_0629
SH_0416	1	JDP762_61777621_D4	1	QUB_0630	1	QUB_27F_0630
SH_0417	1	JDP762_61777621_D5	1	QUB_0631	1	QUB_27F_0631
SH_0418	1	JDP762_61777621_D6	1	QUB_0632	1	QUB_27F_0632
SH_0419	1	JDP762_61777621_D7	1	QUB_0633	1	QUB_27F_0633
SH_0420	1	JDP762_61777621_E1	1	QUB_0635	1	QUB_27F_0635
SH_0420.1	1	IWS820_59988206_59988206	1	QUB_0561	1	QUB_27F_0561
SH_0420.2	1	IWS821_59988213_59988213	1	QUB_0562	1	QUB_27F_0562
SH_0421	1	JDP762_61777621_E2	1	QUB_0638	1	QUB_27F_0638
SH_0422	1	IWS825_59988251_59988251	1	QUB_0566	1	QUB_27F_0566
SH_0423	1	JDP762_61777621_E3	1	QUB_0639	1	QUB_27F_0639
SH_0424	1	JDP762_61777621_E4	1	QUB_0640	1	QUB_27F_0640
SH_0425	1	JDP762_61777621_E5	1	QUB_0641	1	QUB_27F_0641
SH_0426	1	IWS772_59987728_59987728	1	QUB_0527	1	QUB_27F_0527
SH_0427	2	JDP762_61777621_E6; JTQ775_65947754_65947754	1	QUB_0642	1	QUB_27F_0642
SH_0428	1	JDP762_61777621_E7	1	QUB_0643	1	QUB_27F_0643
SH_0429	1	JDP762_61777621_F1	1	QUB_0644	1	QUB_27F_0644
SH_0430	1	IWS773_59987735_59987735	1	QUB_0528	1	QUB_27F_0528
SH_0431	1	JDP762_61777621_F2	1	QUB_0647	1	QUB_27F_0647
SH_0432	1	JDP762_61777621_F3	1	QUB_0648	1	QUB_27F_0648
SH_0433	1	JDP762_61777621_F4	1	QUB_0649	1	QUB_27F_0649
SH_0434	1	JDP762_61777621_F5	1	QUB_0650	1	QUB_27F_0650
SH_0435	1	JDP762_61777621_F6	1	QUB_0651	1	QUB_27F_0651
SH_0436	5	IWS774_59987742_59987742; JTQ706_65947068_65947068; JTQ707_65947075_65947075; KCX879_68358793_68358793; KCX880_68358809_68358809	1	QUB_0529	1	QUB_27F_0529
SH_0437	1	JDP762_61777621_F7	1	QUB_0652	1	QUB_27F_0652
SH_0438	1	JDP762_61777621_G1	1	QUB_0654	1	QUB_27F_0654
SH_0439	1	JDP762_61777621_G2	1	QUB_0655	1	QUB_27F_0655
SH_0440	1	JDP762_61777621_G3	1	QUB_0656	1	QUB_27F_0656
SH_0441	1	JDP762_61777621_G4	1	QUB_0657	1	QUB_27F_0657
SH_0442	1	IWS775_59987759_59987759	0		0	
SH_0443	1	JDP762_61777621_G5	1	QUB_0658	1	QUB_27F_0658
SH_0444	1	JDP762_61777621_G6	1	QUB_0659	1	QUB_27F_0659
SH_0445	1	IWS776_59987766_59987766	1	QUB_0530	1	QUB_27F_0530
SH_0446	1	JDP762_61777621_G7	1	QUB_0660	1	QUB_27F_0660
SH_0447	1	IWS777_59987773_59987773	1	QUB_0531	1	QUB_27F_0531
SH_0448	1	JDP762_61777621_H1	1	QUB_0662	1	QUB_27F_0662
SH_0449	1	JDP762_61777621_H2	0		0	
SH_0450	1	JDP762_61777621_H3	1	QUB_0664	1	QUB_27F_0664
SH_0451	1	JDP762_61777621_H4	1	QUB_0665	1	QUB_27F_0665
SH_0452	1	JDP762_61777621_H5	1	QUB_0666	1	QUB_27F_0666
SH_0452.1	1	IWS822_59988220_59988220	1	QUB_0563	1	QUB_27F_0563
SH_0452.2	1	IWS823_59988237_59988237	1	QUB_0564	1	QUB_27F_0564
SH_0452.3	1	IWS824_59988244_59988244	1	QUB_0565	1	QUB_27F_0565
SH_0453	1	JDP762_61777621_H6	1	QUB_0667	1	QUB_27F_0667
SH_0454	1	JDP762_61777621_H7	1	QUB_0668	1	QUB_27F_0668
SH_0455	1	IVY966_59789667_A1	1	QUB_0424	1	QUB_27F_0424
SH_0456	1	IVY966_59789667_A2	1	QUB_0428	1	QUB_27F_0428
SH_0457	1	IVY966_59789667_A3	1	QUB_0429	1	QUB_27F_0429
SH_0458	1	IVY966_59789667_A4	1	QUB_0430	1	QUB_27F_0430
SH_0459	1	IVY966_59789667_A5	1	QUB_0431	1	QUB_27F_0431
SH_0460	1	IVY966_59789667_A6	1	QUB_0432	1	QUB_27F_0432
SH_0461	1	IVY966_59789667_A7	1	QUB_0433	1	QUB_27F_0433
SH_0462	1	IVY966_59789667_A8	1	QUB_0434	1	QUB_27F_0434
SH_0463	1	IVY966_59789667_A9	1	QUB_0435	1	QUB_27F_0435
SH_0464	1	IVY966_59789667_A10	1	QUB_0425	1	QUB_27F_0425
SH_0465	0		0		0	
SH_0466	1	IVY966_59789667_A11	1	QUB_0426	1	QUB_27F_0426
SH_0467	0		0		0	
SH_0468	1	IVY966_59789667_A12	1	QUB_0427	1	QUB_27F_0427
SH_0469	1	IVY966_59789667_B1	1	QUB_0436	1	QUB_27F_0436
SH_0470	1	IVY966_59789667_B2	1	QUB_0440	1	QUB_27F_0440
SH_0471	1	IVY966_59789667_B3	1	QUB_0441	1	QUB_27F_0441
SH_0472	0		0		0	
SH_0473	1	IVY966_59789667_B4	1	QUB_0442	1	QUB_27F_0442
SH_0474	1	IVY966_59789667_B5	1	QUB_0443	1	QUB_27F_0443
SH_0475	1	IVY966_59789667_B6	1	QUB_0444	1	QUB_27F_0444
SH_0476	1	IVY966_59789667_B7	1	QUB_0445	1	QUB_27F_0445
SH_0477	1	IVY966_59789667_B8	1	QUB_0446	1	QUB_27F_0446
SH_0478	1	IVY966_59789667_B9	1	QUB_0447	1	QUB_27F_0447
SH_0479	1	IVY966_59789667_B10	1	QUB_0437	1	QUB_27F_0437
SH_0480	1	IVY966_59789667_B11	1	QUB_0438	1	QUB_27F_0438
SH_0481	1	IVY966_59789667_B12	1	QUB_0439	1	QUB_27F_0439
SH_0482	1	IVY966_59789667_C1	1	QUB_0448	1	QUB_27F_0448
SH_0483	1	IVY966_59789667_C2	1	QUB_0449	1	QUB_27F_0449
SH_0484	1	IVY966_59789667_C3	1	QUB_0450	1	QUB_27F_0450
SH_0485	1	IVY966_59789667_C4	1	QUB_0451	1	QUB_27F_0451
SH_0486	1	IVY966_59789667_C5	1	QUB_0452	1	QUB_27F_0452
SH_0487	1	IVY966_59789667_C6	1	QUB_0453	1	QUB_27F_0453
SH_0488	1	IVY966_59789667_C7	1	QUB_0454	1	QUB_27F_0454
SH_0489	1	IVY966_59789667_C8	1	QUB_0455	1	QUB_27F_0455
SH_0490	1	IVY966_59789667_C9	0		0	
SH_0491	1	IVY966_59789667_C10	0		0	
SH_0492	1	IVY966_59789667_C11	0		0	
SH_0493	1	IVY966_59789667_C12	0		0	
SH_0494	3	IVY966_59789667_D1; JTQ776_65947761_65947761; KCX851_68358519_68358519	1	QUB_0456	1	QUB_27F_0456
SH_0495	1	IVY966_59789667_D2	0		0	
SH_0496	1	IVY966_59789667_D3	1	QUB_0460	1	QUB_27F_0460
SH_0497	1	IVY966_59789667_D4	0		0	
SH_0498	1	IVY966_59789667_D5	0		0	
SH_0499	1	IVY966_59789667_D6	1	QUB_0461	1	QUB_27F_0461
SH_0500	1	IVY966_59789667_D7	1	QUB_0462	1	QUB_27F_0462
SH_0501	1	IVY966_59789667_D8	1	QUB_0463	1	QUB_27F_0463
SH_0502	1	IVY966_59789667_D9	1	QUB_0464	1	QUB_27F_0464
SH_0503	1	IVY966_59789667_D10	1	QUB_0457	1	QUB_27F_0457
SH_0504	1	IVY966_59789667_D11	1	QUB_0458	1	QUB_27F_0458
SH_0505	1	IVY966_59789667_D12	1	QUB_0459	1	QUB_27F_0459
SH_0506	1	IVY966_59789667_E1	1	QUB_0465	1	QUB_27F_0465
SH_0507	0		0		0	
SH_0508	0		0		0	
SH_0509	1	IVY966_59789667_E2	1	QUB_0468	1	QUB_27F_0468
SH_0510	5	IVY966_59789667_E3; JTQ708_65947082_65947082; JTQ709_65947099_65947099; KCX877_68358779_68358779; KCX878_68358786_68358786	1	QUB_0469	1	QUB_27F_0469
SH_0511	1	IVY966_59789667_E4	1	QUB_0470	1	QUB_27F_0470
SH_0512	1	IVY966_59789667_E5	0		0	
SH_0513	0		0		0	
SH_0514	1	IVY966_59789667_E6	1	QUB_0471	1	QUB_27F_0471
SH_0515	1	IVY966_59789667_E7	0		0	
SH_0516	1	IVY966_59789667_E8	1	QUB_0472	1	QUB_27F_0472
SH_0517	1	IVY966_59789667_E9	1	QUB_0473	1	QUB_27F_0473
SH_0518	3	IVY966_59789667_E10; JTQ710_65947105_65947105; JTQ711_65947112_65947112	1	QUB_0466	1	QUB_27F_0466
SH_0519	1	IVY966_59789667_E11	0		0	
SH_0520	5	IVY966_59789667_E12; JTQ737_65947372_65947372; JTQ738_65947389_65947389; KCX867_68358670_68358670; KCX868_68358687_68358687	1	QUB_0467	1	QUB_27F_0467
SH_0521	1	IVY966_59789667_F1	1	QUB_0474	1	QUB_27F_0474
SH_0522	0		0		0	
SH_0523	1	IVY966_59789667_F2	1	QUB_0477	1	QUB_27F_0477
SH_0524	1	IVY966_59789667_F3	1	QUB_0478	1	QUB_27F_0478
SH_0525	2	IPO339_58123394_E5; IVY966_59789667_F4	0		0	
SH_0526	0		0		0	
SH_0527	1	IVY966_59789667_F5	1	QUB_0479	1	QUB_27F_0479
SH_0528	1	IVY966_59789667_F6	1	QUB_0480	1	QUB_27F_0480
SH_0529	1	IVY966_59789667_F7	1	QUB_0481	1	QUB_27F_0481
SH_0530	1	IVY966_59789667_F8	1	QUB_0482	1	QUB_27F_0482
SH_0531	1	IVY966_59789667_F9	1	QUB_0483	1	QUB_27F_0483
SH_0532	1	IVY966_59789667_F10	1	QUB_0475	1	QUB_27F_0475
SH_0533	1	IVY966_59789667_F11	1	QUB_0476	1	QUB_27F_0476
SH_0534	2	IPO339_58123394_B7; IVY966_59789667_F12	1	QUB_0197	1	QUB_27F_0197
SH_0535	1	IVY966_59789667_G1	1	QUB_0484	1	QUB_27F_0484
SH_0536	1	IVY966_59789667_G2	1	QUB_0485	1	QUB_27F_0485
SH_0537	1	IVY966_59789667_G3	1	QUB_0486	1	QUB_27F_0486
SH_0538	1	IVY966_59789667_G4	1	QUB_0487	1	QUB_27F_0487
SH_0539	1	IVY966_59789667_G5	0		0	
SH_0540	1	IVY966_59789667_G6	0		0	
SH_0541	1	IVY966_59789667_G7	0		0	
SH_0542	3	IVY966_59789667_H10; JTQ769_65947693_65947693; JTQ770_65947709_65947709	1	QUB_0490	1	QUB_27F_0490
SH_0543	5	IVY966_59789667_G8; JTQ720_65947204_65947204; JTQ721_65947211_65947211; KCX875_68358755_68358755; KCX876_68358762_68358762	1	QUB_0488	1	QUB_27F_0488
SH_0544	1	IVY966_59789667_G10	0		0	
SH_0545	1	IVY966_59789667_G9	0		0	
SH_0546	1	IVY966_59789667_G11	0		0	
SH_0547	2	IPO339_58123394_F5; IVY966_59789667_G12	0		0	
SH_0548	1	IVY966_59789667_H11	1	QUB_0491	1	QUB_27F_0491
SH_0549	1	IVY966_59789667_H1	1	QUB_0489	1	QUB_27F_0489
SH_0550	1	IVY966_59789667_H2	1	QUB_0492	1	QUB_27F_0492
SH_0551	1	IVY966_59789667_H3	1	QUB_0493	1	QUB_27F_0493
SH_0552	1	IVY966_59789667_H4	1	QUB_0494	1	QUB_27F_0494
SH_0553	1	IVY966_59789667_H5	1	QUB_0495	1	QUB_27F_0495
SH_0554	1	IVY966_59789667_H6	1	QUB_0496	1	QUB_27F_0496
SH_0555	2	IPO339_58123394_C7; IVY966_59789667_H7	1	QUB_0205	1	QUB_27F_0205
SH_0556	2	IPO339_58123394_G5; IVY966_59789667_H8	0		0	
SH_0557	1	IVY966_59789667_H9	1	QUB_0497	1	QUB_27F_0497
SH_0558	1	IPO339_58123394_C1	1	QUB_0200	1	QUB_27F_0200
SH_0559	3	IPO339_58123394_D1; JTQ767_65947679_65947679; JTQ768_65947686_65947686	1	QUB_0208	1	QUB_27F_0208
SH_0560	0		0		0	
SH_0561	1	IPO341_58123417_A1	1	QUB_0341	1	QUB_27F_0341
SH_0562	2	IPO339_58123394_H5; IPO341_58123417_B1	1	QUB_0245	1	QUB_27F_0245
SH_0563	2	IPO339_58123394_D7; IPO341_58123417_C1	1	QUB_0212	1	QUB_27F_0212
SH_0564	2	IPO339_58123394_A6; IPO341_58123417_D1	1	QUB_0189	1	QUB_27F_0189
SH_0565	2	IPO339_58123394_B6; IPO341_58123417_E1	0		0	
SH_0566	1	IPO341_58123417_F1	1	QUB_0393	1	QUB_27F_0393
SH_0567	1	IPO341_58123417_G1	1	QUB_0404	1	QUB_27F_0404
SH_0568	1	IPO341_58123417_H1	1	QUB_0414	1	QUB_27F_0414
SH_0569	1	IPO341_58123417_A2	1	QUB_0345	1	QUB_27F_0345
SH_0570	1	IPO341_58123417_B2	1	QUB_0354	1	QUB_27F_0354
SH_0571	1	IPO341_58123417_C2	1	QUB_0363	1	QUB_27F_0363
SH_0572	1	IPO341_58123417_D2	1	QUB_0374	1	QUB_27F_0374
SH_0573	1	IPO341_58123417_E2	1	QUB_0385	1	QUB_27F_0385
SH_0574	1	IPO341_58123417_F2	1	QUB_0397	1	QUB_27F_0397
SH_0575	3	IPO341_58123417_G2; JTQ739_65947396_65947396; JTQ740_65947402_65947402	1	QUB_0407	1	QUB_27F_0407
SH_0576	1	IPO339_58123394_A9	1	QUB_0191	1	QUB_27F_0191
SH_0577	1	IPO341_58123417_H2	1	QUB_0417	1	QUB_27F_0417
SH_0578	1	IPO341_58123417_A3	1	QUB_0346	1	QUB_27F_0346
SH_0579	1	IPO341_58123417_B3	1	QUB_0355	1	QUB_27F_0355
SH_0580	1	IPO341_58123417_C3	1	QUB_0364	1	QUB_27F_0364
SH_0581	1	IPO341_58123417_D3	1	QUB_0375	1	QUB_27F_0375
SH_0582	5	IPO341_58123417_E3; JTQ741_65947419_65947419; JTQ742_65947426_65947426; KCX873_68358731_68358731; KCX874_68358748_68358748	1	QUB_0386	1	QUB_27F_0386
SH_0583	1	IPO341_58123417_F3	1	QUB_0398	1	QUB_27F_0398
SH_0584	1	IPO341_58123417_G3	1	QUB_0408	1	QUB_27F_0408
SH_0585	1	IPO341_58123417_H3	1	QUB_0418	1	QUB_27F_0418
SH_0586	2	IPO339_58123394_C6; IPO341_58123417_A4	0		0	
SH_0587	1	IPO341_58123417_B4	1	QUB_0356	1	QUB_27F_0356
SH_0588	1	IPO341_58123417_C4	1	QUB_0365	1	QUB_27F_0365
SH_0589	1	IPO341_58123417_D4	1	QUB_0376	1	QUB_27F_0376
SH_0590	1	IPO341_58123417_E4	1	QUB_0387	1	QUB_27F_0387
SH_0591	1	IVY999_59789995_59789995	1	QUB_0502	1	QUB_27F_0502
SH_0592	1	IVY994_59789940_59789940	1	QUB_0499	1	QUB_27F_0499
SH_0593	1	IPO341_58123417_F4	1	QUB_0399	1	QUB_27F_0399
SH_0594	1	IPO341_58123417_G4	1	QUB_0409	1	QUB_27F_0409
SH_0595	3	IPO341_58123417_H4; JTQ680_65946801_65946801; JTQ681_65946818_65946818	1	QUB_0419	1	QUB_27F_0419
SH_0596	1	IPO341_58123417_A5	1	QUB_0347	1	QUB_27F_0347
SH_0597	0		0		0	
SH_0598	1	IPO341_58123417_B5	1	QUB_0357	1	QUB_27F_0357
SH_0599	1	IPO341_58123417_C5	1	QUB_0366	1	QUB_27F_0366
SH_0600	1	IPO341_58123417_D5	1	QUB_0377	1	QUB_27F_0377
SH_0601	1	IPO341_58123417_E5	1	QUB_0388	1	QUB_27F_0388
SH_0602	1	IPO341_58123417_F5	0		0	
SH_0603	1	IPO341_58123417_G5	1	QUB_0410	1	QUB_27F_0410
SH_0604	1	IPO341_58123417_H5	1	QUB_0420	1	QUB_27F_0420
SH_0605	3	IPO341_58123417_A6; JTQ700_65947006_65947006; JTQ701_65947013_65947013	1	QUB_0348	1	QUB_27F_0348
SH_0606	1	IPO341_58123417_B6	1	QUB_0358	1	QUB_27F_0358
SH_0607	1	IPO341_58123417_C6	1	QUB_0367	1	QUB_27F_0367
SH_0608	1	IPO341_58123417_D6	1	QUB_0378	1	QUB_27F_0378
SH_0609	0		0		0	
SH_0610	1	IPO341_58123417_E6	1	QUB_0389	1	QUB_27F_0389
SH_0611	1	IPO341_58123417_F6	1	QUB_0400	1	QUB_27F_0400
SH_0612	1	IPO341_58123417_G6	1	QUB_0411	1	QUB_27F_0411
SH_0613	1	IPO341_58123417_F11	1	QUB_0395	1	QUB_27F_0395
SH_0614	0		0		0	
SH_0615	2	IPO339_58123394_D6; IPO341_58123417_G11	0		0	
SH_0616	1	IPO341_58123417_H6	1	QUB_0421	1	QUB_27F_0421
SH_0617	1	IPO341_58123417_A7	1	QUB_0349	1	QUB_27F_0349
SH_0618	1	IPO341_58123417_B7	1	QUB_0359	1	QUB_27F_0359
SH_0619	1	IPO341_58123417_C7	1	QUB_0368	1	QUB_27F_0368
SH_0620	1	IPO341_58123417_D7	1	QUB_0379	1	QUB_27F_0379
SH_0621	1	IPO339_58123394_B9	1	QUB_0199	1	QUB_27F_0199
SH_0622	1	IPO341_58123417_E7	1	QUB_0390	1	QUB_27F_0390
SH_0623	1	IPO341_58123417_F7	1	QUB_0401	1	QUB_27F_0401
SH_0624	3	IPO341_58123417_G7; KCX865_68358656_68358656; KCX866_68358663_68358663	1	QUB_0412	1	QUB_27F_0412
SH_0625	1	IPO341_58123417_H7	1	QUB_0422	1	QUB_27F_0422
SH_0626	1	IPO341_58123417_A8	1	QUB_0350	1	QUB_27F_0350
SH_0627	1	IPO341_58123417_B8	1	QUB_0360	1	QUB_27F_0360
SH_0628	1	IPO341_58123417_C8	1	QUB_0369	1	QUB_27F_0369
SH_0629	1	IPO341_58123417_D8	1	QUB_0380	1	QUB_27F_0380
SH_0630	1	IPO341_58123417_E8	1	QUB_0391	1	QUB_27F_0391
SH_0631	1	IPO341_58123417_F8	1	QUB_0402	1	QUB_27F_0402
SH_0632	0		0		0	
SH_0633	0		0		0	
SH_0634	1	IPO341_58123417_G8	0		0	
SH_0635	1	IPO341_58123417_H8	0		0	
SH_0636	1	IPO341_58123417_A9	0		0	
SH_0637	1	IPO341_58123417_B9	0		0	
SH_0638	3	IPO339_58123394_C9; JTQ678_65946788_65946788; JTQ679_65946795_65946795	1	QUB_0207	1	QUB_27F_0207
SH_0639	1	IPO341_58123417_C9	1	QUB_0370	1	QUB_27F_0370
SH_0640	1	IPO341_58123417_D9	1	QUB_0381	1	QUB_27F_0381
SH_0641	1	IPO341_58123417_E9	1	QUB_0392	1	QUB_27F_0392
SH_0642	1	IPO341_58123417_F9	1	QUB_0403	1	QUB_27F_0403
SH_0643	1	IPO341_58123417_G9	1	QUB_0413	1	QUB_27F_0413
SH_0644	1	IPO341_58123417_H9	1	QUB_0423	1	QUB_27F_0423
SH_0645	1	IPO341_58123417_A10	1	QUB_0342	1	QUB_27F_0342
SH_0646	1	IPO341_58123417_B10	1	QUB_0351	1	QUB_27F_0351
SH_0647	1	IPO341_58123417_C10	1	QUB_0361	1	QUB_27F_0361
SH_0648	1	IPO341_58123417_D10	1	QUB_0371	1	QUB_27F_0371
SH_0649	1	IPO341_58123417_E10	1	QUB_0382	1	QUB_27F_0382
SH_0650	1	IPO341_58123417_F10	1	QUB_0394	1	QUB_27F_0394
SH_0651	1	IPO341_58123417_G10	1	QUB_0405	1	QUB_27F_0405
SH_0652	1	IPO341_58123417_H10	1	QUB_0415	1	QUB_27F_0415
SH_0653	1	IPO341_58123417_A11	1	QUB_0343	1	QUB_27F_0343
SH_0654	1	IPO341_58123417_B11	1	QUB_0352	1	QUB_27F_0352
SH_0655	1	IPO341_58123417_C11	1	QUB_0362	1	QUB_27F_0362
SH_0656	1	IPO341_58123417_H11	0		0	
SH_0657	0		0		0	
SH_0658	0		0		0	
SH_0659	0		0		0	
SH_0660	0		0		0	
SH_0661	0		0		0	
SH_0662	0		0		0	
SH_0663	0		0		0	
SH_0664	1	IPO341_58123417_D11	1	QUB_0372	1	QUB_27F_0372
SH_0665	1	IPO341_58123417_E11	1	QUB_0383	1	QUB_27F_0383
SH_0666	1	IPO341_58123417_A12	1	QUB_0344	1	QUB_27F_0344
SH_0667	1	IPO341_58123417_B12	1	QUB_0353	1	QUB_27F_0353
SH_0668	2	IPO339_58123394_E6; IPO341_58123417_C12	1	QUB_0219	1	QUB_27F_0219
SH_0669	1	IPO341_58123417_D12	1	QUB_0373	1	QUB_27F_0373
SH_0670	3	IPO341_58123417_E12; JTQ712_65947129_65947129; JTQ713_65947136_65947136	1	QUB_0384	1	QUB_27F_0384
SH_0671	1	IPO341_58123417_F12	1	QUB_0396	1	QUB_27F_0396
SH_0672	5	IPO341_58123417_G12; JTQ743_65947433_65947433; JTQ744_65947440_65947440; KCX869_68358694_68358694; KCX870_68358700_68358700	1	QUB_0406	1	QUB_27F_0406
SH_0673	1	IPO341_58123417_H12	1	QUB_0416	1	QUB_27F_0416
SH_0674	1	IPO340_58123400_A1	1	QUB_0249	1	QUB_27F_0249
SH_0675	1	IPO340_58123400_B1	1	QUB_0259	1	QUB_27F_0259
SH_0676	5	IPO340_58123400_C1; JTQ684_65946849_65946849; JTQ685_65946856_65946856; KCX845_68358458_68358458; KCX846_68358465_68358465	1	QUB_0271	1	QUB_27F_0271
SH_0677	1	IPO340_58123400_D1	1	QUB_0283	1	QUB_27F_0283
SH_0678	3	IPO340_58123400_E1; JTQ745_65947457_65947457; JTQ746_65947464_65947464	1	QUB_0295	1	QUB_27F_0295
SH_0679	1	IPO340_58123400_F1	1	QUB_0306	1	QUB_27F_0306
SH_0680	1	IPO340_58123400_G1	1	QUB_0318	1	QUB_27F_0318
SH_0681	0		0		0	
SH_0682	1	IPO340_58123400_H1	1	QUB_0330	1	QUB_27F_0330
SH_0683	1	IPO340_58123400_A2	1	QUB_0252	1	QUB_27F_0252
SH_0684	1	IPO340_58123400_B2	1	QUB_0263	1	QUB_27F_0263
SH_0685	3	IPO340_58123400_C2; JTQ716_65947167_65947167; JTQ717_65947174_65947174	1	QUB_0275	1	QUB_27F_0275
SH_0686	1	IPO340_58123400_D2	1	QUB_0287	1	QUB_27F_0287
SH_0687	1	IPO340_58123400_E2	1	QUB_0299	1	QUB_27F_0299
SH_0688	1	IPO340_58123400_F2	1	QUB_0310	1	QUB_27F_0310
SH_0689	0		0		0	
SH_0690	1	IPO340_58123400_G2	1	QUB_0322	1	QUB_27F_0322
SH_0691	1	IPO340_58123400_H2	1	QUB_0334	1	QUB_27F_0334
SH_0692	2	IPO340_58123400_A3; IPO340_58123400_B3	2	QUB_0253; QUB_0264	2	QUB_27F_0253; QUB_27F_0264
SH_0693	0		0		0	
SH_0694	1	IVY997_59789971_59789971	1	QUB_0500	1	QUB_27F_0500
SH_0695	5	IVY998_59789988_59789988; JTQ718_65947181_65947181; JTQ719_65947198_65947198; KCX847_68358472_68358472; KCX848_68358489_68358489	1	QUB_0501	1	QUB_27F_0501
SH_0696	1	IPO340_58123400_C3	1	QUB_0276	1	QUB_27F_0276
SH_0697	1	IPO340_58123400_D3	1	QUB_0288	1	QUB_27F_0288
SH_0698	1	IPO340_58123400_E3	1	QUB_0300	1	QUB_27F_0300
SH_0699	1	IVZ000_59790007_59790007	1	QUB_0503	1	QUB_27F_0503
SH_0700	1	IPO340_58123400_F3	1	QUB_0311	1	QUB_27F_0311
SH_0701	1	IPO340_58123400_G3	1	QUB_0323	1	QUB_27F_0323
SH_0702	3	IPO340_58123400_H3; JTQ755_65947556_65947556; JTQ756_65947563_65947563	1	QUB_0335	1	QUB_27F_0335
SH_0703	1	IPO340_58123400_A4	1	QUB_0254	1	QUB_27F_0254
SH_0704	1	IPO340_58123400_B4	1	QUB_0265	1	QUB_27F_0265
SH_0705	1	IPO340_58123400_C4	1	QUB_0277	1	QUB_27F_0277
SH_0706	1	IPO340_58123400_D4	1	QUB_0289	1	QUB_27F_0289
SH_0707	3	IPO340_58123400_E4; JTQ694_65946948_65946948; JTQ695_65946955_65946955	1	QUB_0301	1	QUB_27F_0301
SH_0708	1	IVZ001_59790014_59790014	1	QUB_0504	1	QUB_27F_0504
SH_0709	1	IVZ002_59790021_59790021	1	QUB_0505	1	QUB_27F_0505
SH_0710	0		0		0	
SH_0711	0		0		0	
SH_0712	0		0		0	
SH_0713	1	IPO340_58123400_F4	1	QUB_0312	1	QUB_27F_0312
SH_0714	0		0		0	
SH_0715	0		0		0	
SH_0716	0		0		0	
SH_0717	5	IVZ003_59790038_59790038; JTQ702_65947020_65947020; JTQ703_65947037_65947037; KCX853_68358533_68358533; KCX854_68358540_68358540	1	QUB_0506	1	QUB_27F_0506
SH_0718	1	IPO340_58123400_G4	1	QUB_0324	1	QUB_27F_0324
SH_0719	3	IPO340_58123400_H4; JTQ714_65947143_65947143; JTQ715_65947150_65947150	1	QUB_0336	1	QUB_27F_0336
SH_0720	1	IPO340_58123400_A5	1	QUB_0255	1	QUB_27F_0255
SH_0721	0		0		0	
SH_0722	1	IVZ004_59790045_59790045	1	QUB_0507	1	QUB_27F_0507
SH_0723	1	IPO340_58123400_B5	1	QUB_0266	1	QUB_27F_0266
SH_0724	0		0		0	
SH_0725	0		0		0	
SH_0726	3	IVZ005_59790052_59790052; JTQ698_65946986_65946986; JTQ699_65946993_65946993	1	QUB_0508	1	QUB_27F_0508
SH_0727	1	IVZ006_59790069_59790069	1	QUB_0509	1	QUB_27F_0509
SH_0728	3	IVZ007_59790076_59790076; JTQ747_65947471_65947471; JTQ748_65947488_65947488	1	QUB_0510	1	QUB_27F_0510
SH_0729	0		0		0	
SH_0730	1	IVZ008_59790083_59790083	1	QUB_0511	1	QUB_27F_0511
SH_0731	1	IVZ009_59790090_59790090	1	QUB_0512	1	QUB_27F_0512
SH_0732	0		0		0	
SH_0733	1	IPO340_58123400_C5	1	QUB_0278	1	QUB_27F_0278
SH_0734	0		0		0	
SH_0735	1	IPO340_58123400_D5	1	QUB_0290	1	QUB_27F_0290
SH_0736	1	IPO340_58123400_E5	1	QUB_0302	1	QUB_27F_0302
SH_0737	1	IPO340_58123400_F5	1	QUB_0313	1	QUB_27F_0313
SH_0738	1	IPO340_58123400_G5	1	QUB_0325	1	QUB_27F_0325
SH_0739	2	IPO339_58123394_A7; IPO340_58123400_H5	0		0	
