"Homozygous - Lethal","337"
"Homozygous - Subviable","162"
"Homozygous - Viable","953"

"Gene","Colony","Category"
"Pcgf2","TCPA0528Cre","Homozygous - Lethal"
"Dzank1","BL2388","Homozygous - Viable"
"Cmtm6","MDXZ","Homozygous - Viable"
"Nxn","MUCQ","Homozygous - Lethal"
"Myo7a","MEBX","Homozygous - Viable"
"Farsa","MDRV","Homozygous - Lethal"
"Kif1b","JR23603","Homozygous - Lethal"
"Fgf9","JR24326","Homozygous - Lethal"
"Akap11","JR23512","Homozygous - Viable"
"Slc6a3","JR22301","Homozygous - Viable"
"Htr7","JR23282","Homozygous - Viable"
"Esyt3","H-Esyt3-C09-TM1B-2","Homozygous - Viable"
"Ppp2r2b","MASL-1","Homozygous - Viable"
"Sdc2","HMGU-EPD0107_2_G11-1-1","Homozygous - Viable"
"Rasal2","MEBJ","Homozygous - Viable"
"Dcx","MDKH","Homozygous - Viable"
"Vps51","MFDC","Homozygous - Lethal"
"Abi3bp","TCPA0007Cre","Homozygous - Subviable"
"Tceal5","MUAM","Homozygous - Viable"
"Dhfr","TCPA0165Cre","Homozygous - Lethal"
"Gimap6","JR24028","Homozygous - Viable"
"Slc7a13","ET8296","Homozygous - Viable"
"Ctdspl","TCPA0051Cre","Homozygous - Viable"
"Adamts18","BL3122","Homozygous - Viable"
"G6b","ET8735","Homozygous - Viable"
"Grtp1","TCPA0524Cre","Homozygous - Viable"
"Apof","BL794","Homozygous - Viable"
"Lima1","JR22302","Homozygous - Viable"
"Abtb2","MEWH","Homozygous - Viable"
"Traf6","MFXR","Homozygous - Lethal"
"Ggnbp1","BL2405","Homozygous - Viable"
"Peli1","BL3735","Homozygous - Lethal"
"Fbxo7","MEBV","Homozygous - Viable"
"Prdm4","H-PRDM4-B10-TM1B","Homozygous - Viable"
"Sirt1","H-Sirt1-B04-TM1B","Homozygous - Subviable"
"Slc47a1","GSF-EPD0423_5_H01-1-1","Homozygous - Viable"
"Adpgk","MFTB","Homozygous - Viable"
"Rspo1","BL4206","Homozygous - Viable"
"Tox3","BL2283","Homozygous - Subviable"
"Atp11a","MFTN","Homozygous - Lethal"
"Nhp2","MFDS","Homozygous - Lethal"
"Jup","JR22821","Homozygous - Lethal"
"Prep","JR22099","Homozygous - Lethal"
"Htr1b","JR18634","Homozygous - Subviable"
"Frmd5","GSF-HEPD0516_1_C05-1-1","Homozygous - Viable"
"Kdm8","H-Kdm8-A04-TM1B","Homozygous - Lethal"
"Txnip","H-TXNIP-F08-TM1B","Homozygous - Viable"
"Arsk","JR18657","Homozygous - Viable"
"Slc25a30","MELD","Homozygous - Viable"
"Jazf1","ET8676","Homozygous - Viable"
"Mlc1","BL3629","Homozygous - Viable"
"Socs1","TCPA0574Cre","Homozygous - Lethal"
"Mas1","BL3034","Homozygous - Viable"
"Isg20","MFFD","Homozygous - Viable"
"Pigu","IP00005008a","Homozygous - Lethal"
"Ap4e1","MUCH","Homozygous - Viable"
"Gm648","MEEB","Homozygous - Viable"
"Gfod2","H-GFOD2-E04-TM1B","Homozygous - Viable"
"Iah1","E201JM8N4-54","Homozygous - Viable"
"Lmna","IP00005431a","Homozygous - Lethal"
"Arrb2","JR18608","Homozygous - Viable"
"Nptn","H-NPTN-A06-TM1B","Homozygous - Viable"
"Sirt3","H-Sirt3-F10-TM1B","Homozygous - Viable"
"Dpp10","TCPA0779Cre","Homozygous - Viable"
"Setd4","MDUJ","Homozygous - Viable"
"Cited4","JR18587","Homozygous - Viable"
"Rsbn1","H-Rsbn1-A02-TM1B","Homozygous - Lethal"
"Gpr84","TCPA0502Cre","Homozygous - Viable"
"Atp8b2","MFFN","Homozygous - Subviable"
"Plxna2","MEAM","Homozygous - Viable"
"Rab40c","JR24093","Homozygous - Subviable"
"Cln6","TCPA0153Cre","Homozygous - Viable"
"Il17rd","H-Il17rd-G11-TM1B","Homozygous - Viable"
"Tmem100","TCPA0049Cre","Homozygous - Lethal"
"Lgals7","MEHU","Homozygous - Viable"
"Ccdc109b","H-CCDC109B-F05-TM1B","Homozygous - Viable"
"Ahsa2","IP00005099a","Homozygous - Viable"
"Tmem63b","IP00005432a","Homozygous - Lethal"
"Zfp616","MUCF","Homozygous - Viable"
"Trp53rk","MFJA","Homozygous - Viable"
"Arid3a","JR18569","Homozygous - Lethal"
"Adora2b","JR18592","Homozygous - Viable"
"Casz1","H-CASZ1-D09-TM1B","Homozygous - Lethal"
"Wdr12","JR18573","Homozygous - Lethal"
"Irf7","MEBN","Homozygous - Viable"
"Fkbp5","BL3256","Homozygous - Subviable"
"Cdk9","BL4146","Homozygous - Lethal"
"Gm5544","MFYG","Homozygous - Subviable"
"Ccl22","MDML","Homozygous - Subviable"
"Sec1","MEMY","Homozygous - Viable"
"Tmem97","BL2323","Homozygous - Viable"
"Prkab1","ET6880_TCP","Homozygous - Subviable"
"Pcsk1n","BL1504","Homozygous - Viable"
"Prkab1","ET6880","Homozygous - Subviable"
"Tmem184b","BL4061","Homozygous - Subviable"
"Lgals7","MUAQ","Homozygous - Viable"
"Prelp","BL2259","Homozygous - Viable"
"Cdh26","BL3504","Homozygous - Viable"
"Fam20c","BL3200","Homozygous - Lethal"
"Exoc3l2","MUAU","Homozygous - Lethal"
"Fam20a","BL3181","Homozygous - Viable"
"C9","JR22779","Homozygous - Viable"
"Cnbd1","MUAY","Homozygous - Viable"
"Fbxo33","MUBU","Homozygous - Viable"
"Amz2","MFXD","Homozygous - Viable"
"Tff1","MDKX","Homozygous - Viable"
"Cand2","MDKN","Homozygous - Viable"
"Thsd1","JR21839","Homozygous - Viable"
"Tex37","BL1380","Homozygous - Viable"
"Atp5b","TCPA0521Cre","Homozygous - Lethal"
"Stx16","JR22781","Homozygous - Viable"
"H1foo","TCPA0004Cre","Homozygous - Viable"
"Fbxo47","MDTZ","Homozygous - Viable"
"Orc1","JR24036","Homozygous - Lethal"
"Hpcal4","BL2277","Homozygous - Viable"
"4933430I17Rik","IP00004326a","Homozygous - Viable"
"Lifr","H-LIFR-B09-TM1B","Homozygous - Lethal"
"Dnajc14","JR18637","Homozygous - Viable"
"Adck2","JR24518","Homozygous - Viable"
"Ankrd6","MUBA","Homozygous - Viable"
"Naga","MDNQ","Homozygous - Viable"
"Otud6b","H-OTUD6B-H08-TM1B","Homozygous - Subviable"
"Ddx41","BL3367-1","Homozygous - Lethal"
"Ell2","MEEF","Homozygous - Viable"
"Car4","GSF-EPD0227_6_F12-1-2","Homozygous - Subviable"
"Gpr50","BL1376","Homozygous - Viable"
"Nsf","JR18646","Homozygous - Lethal"
"Pnmt","JR24330","Homozygous - Viable"
"Dnajc16","JR18633","Homozygous - Subviable"
"Klhl18","MFEM","Homozygous - Viable"
"Tmc6","MCVS","Homozygous - Viable"
"Plekhg3","IP00005111a","Homozygous - Viable"
"Sdsl","IP00004929a","Homozygous - Viable"
"Setd2","TCPA0733Cre","Homozygous - Viable"
"Cyp27b1","TCPA0642Cre","Homozygous - Viable"
"Bach2","MFZQ","Homozygous - Viable"
"C3","JR22098","Homozygous - Viable"
"Rad21l","JR22102","Homozygous - Viable"
"Daam2","MEQD","Homozygous - Viable"
"Oxr1","MEBW","Homozygous - Viable"
"Odf3l2","BL3073","Homozygous - Viable"
"Cdkn2aipnl","MUBZ","Homozygous - Viable"
"Poln","H-Poln-C08-TM1B","Homozygous - Viable"
"Lancl2","ET8219","Homozygous - Viable"
"Tsfm","MDFF","Homozygous - Lethal"
"Slc20a2","MEQX","Homozygous - Viable"
"Rala","MEAH","Homozygous - Subviable"
"A1cf","JR24325","Homozygous - Viable"
"AI464131","JR21488","Homozygous - Viable"
"Cbx6","MCTQ","Homozygous - Viable"
"Zfp365","MFXF","Homozygous - Viable"
"Mast2","MFRU","Homozygous - Viable"
"Lpar6","JR22094","Homozygous - Viable"
"Dennd1c","MEKG","Homozygous - Viable"
"Fyn","MDVQ","Homozygous - Lethal"
"Ccl26","JR24349","Homozygous - Viable"
"Arsg","MEDY","Homozygous - Viable"
"Pitrm1","MFXT","Homozygous - Lethal"
"Cd83","BL3306","Homozygous - Viable"
"Lst1","ET9009","Homozygous - Viable"
"Ttc30a2","BL2275","Homozygous - Viable"
"Klkb1","GSF-EPD0560_5_B04-2-2","Homozygous - Viable"
"Dnase1l2","EPD0296_2_A10","Homozygous - Viable"
"Gpr22","H-GPR22-F10-TM1B","Homozygous - Viable"
"Itga8","JR23813","Homozygous - Subviable"
"Moxd1","JR23420","Homozygous - Viable"
"Zdhhc23","BL2970","Homozygous - Viable"
"Ypel3","BL2476","Homozygous - Viable"
"Plod1","TCPA0666Cre","Homozygous - Viable"
"Nadsyn1","BL3101","Homozygous - Viable"
"Sik1","BL1802","Homozygous - Viable"
"Alg13","MCWY","Homozygous - Viable"
"Dhx30","JR22342","Homozygous - Lethal"
"Rln1","RIKEN-Rln1-AB5_","Homozygous - Viable"
"Fbxo41","BL3487","Homozygous - Viable"
"Ctr9","MUAZ","Homozygous - Lethal"
"Dopey2","MDYU","Homozygous - Viable"
"Wdtc1","MFYJ","Homozygous - Viable"
"Zzef1","BL3102","Homozygous - Viable"
"Gabrr2","BL3014","Homozygous - Viable"
"Patz1","BL3680","Homozygous - Lethal"
"Nmur1","BL2274","Homozygous - Viable"
"Uts2b","BL2351","Homozygous - Viable"
"Map3k1","MDDY","Homozygous - Subviable"
"Ddhd1","MFCR","Homozygous - Viable"
"Ncald","JR18575","Homozygous - Viable"
"Slc1a1","JR24411","Homozygous - Viable"
"Gpr1","H-Gpr1-C01-TM1B","Homozygous - Viable"
"Pbdc1","MEDL","Homozygous - Viable"
"Commd10","MEMK","Homozygous - Lethal"
"Inf2","BL1485","Homozygous - Viable"
"Il20ra","BL2547","Homozygous - Viable"
"Eaf1","H-EAF1-E07-TM1B","Homozygous - Lethal"
"Gbx1","H-GBX1-C09-TM1B","Homozygous - Viable"
"Eprs","TCPA0537Cre","Homozygous - Lethal"
"Cbx4","TCPA0078Cre","Homozygous - Lethal"
"Dnase1l2","RIKEN_EPD0296_2_A10","Homozygous - Viable"
"Sptbn2","H-SPTBN2-H05-TM1B","Homozygous - Viable"
"Cr1l","JR22343","Homozygous - Lethal"
"Dbn1","MCKS-3","Homozygous - Lethal"
"Ccdc134","MERW","Homozygous - Subviable"
"Mettl24","MFUB","Homozygous - Viable"
"Gtpbp2","BL2589-1","Homozygous - Viable"
"Hells","GSF-EPD0102_4_A04-1-1","Homozygous - Lethal"
"Rufy2","MDDP","Homozygous - Viable"
"Ninj2","MEQF","Homozygous - Viable"
"Zmiz2","JR18593","Homozygous - Lethal"
"Wee1","TCPA0163Cre","Homozygous - Lethal"
"Il6ra","BL1357","Homozygous - Viable"
"Vps53","MDJZ","Homozygous - Lethal"
"Ect2","IP00005491a","Homozygous - Lethal"
"Gp9","BL3654","Homozygous - Viable"
"Prg3","BL3293","Homozygous - Viable"
"Cttn","H-Cttn-D11-TM1B","Homozygous - Viable"
"Fam175b","MDYQ","Homozygous - Viable"
"Cdc26","IP00005031a","Homozygous - Lethal"
"Ppp6c","IP00004899a","Homozygous - Lethal"
"Ino80","IP00004468a","Homozygous - Lethal"
"Hdac10","JR18844","Homozygous - Viable"
"Arrdc1","JR18607","Homozygous - Viable"
"Gabarapl2","H-GABARAPL2-F09-TM1B","Homozygous - Lethal"
"Rnf183","H-RNF183-D07-TM1B","Homozygous - Viable"
"Zbtb32","JR23602","Homozygous - Viable"
"Grm6","H-Grm6-G06-TM1B","Homozygous - Viable"
"Hectd2","H-Hectd2-F04-TM1B","Homozygous - Viable"
"Dnajb12","JR18597","Homozygous - Subviable"
"Rabl6","BL2321","Homozygous - Viable"
"Wisp2","ET7963","Homozygous - Viable"
"Clstn3","H-Clstn3-C09-TM1B","Homozygous - Viable"
"Cyb5d2","JR24035","Homozygous - Viable"
"Bbs10","JR24037","Homozygous - Lethal"
"1110059G10Rik","MEYZ","Homozygous - Viable"
"Def6","MEXX","Homozygous - Viable"
"Klf17","MUBV","Homozygous - Viable"
"Plcb2","BL3538","Homozygous - Viable"
"Creb3l1","MEEN","Homozygous - Viable"
"Cyp2r1","MUBS","Homozygous - Viable"
"Lamc3","MDZE","Homozygous - Viable"
"Rdx","JR18578","Homozygous - Subviable"
"Gps1","TCPA0529Cre","Homozygous - Lethal"
"Il18bp","ET8509","Homozygous - Viable"
"Ranbp2","BL3938","Homozygous - Lethal"
"Cbx2","H-Cbx2-F12-TM1B","Homozygous - Lethal"
"Hecw2","MFHN","Homozygous - Subviable"
"Ift88","JR23606","Homozygous - Lethal"
"Nemf","JR18697","Homozygous - Lethal"
"Ceacam16","JR22335","Homozygous - Viable"
"Ddost","UCD-11663B-F3-2-1","Homozygous - Lethal"
"Aldoc","BL3551","Homozygous - Viable"
"Dbn1","H-DBN1-A05-TM1B","Homozygous - Subviable"
"Dusp11","IP00005407a","Homozygous - Viable"
"Prelid2","H-PRELID2-A01-TM1B","Homozygous - Viable"
"Kcnip4","MDZY","Homozygous - Viable"
"Ddx55","METX","Homozygous - Lethal"
"Serpina3c","MFCY","Homozygous - Viable"
"Gle1","MCXN","Homozygous - Lethal"
"Spg20","Monterotondo-HEPD0548_1_H08-1-1","Homozygous - Viable"
"Wars","H4336-HEPD0563_6_G06-1","Homozygous - Lethal"
"Jag2","H-JAG2-B11-TM!B","Homozygous - Lethal"
"Zzef1","JR22366","Homozygous - Viable"
"Il24","JR22005","Homozygous - Viable"
"Slc17a9","BL4145","Homozygous - Viable"
"Nme4","MFFZ","Homozygous - Viable"
"Pqlc3","MFGM","Homozygous - Viable"
"Ampd1","ET5105","Homozygous - Subviable"
"Atp6v0a1","TCPA0152Cre","Homozygous - Lethal"
"Amigo3","BL3141","Homozygous - Viable"
"Lonrf3","MUAN","Homozygous - Viable"
"Slc25a3","BL2350","Homozygous - Lethal"
"Snap47","MDEQ","Homozygous - Viable"
"Barx2","H-BARX2-F07-TM1B","Homozygous - Subviable"
"Dnase1l2","MUCK","Homozygous - Viable"
"Cabp1","MDYD","Homozygous - Viable"
"Zscan2","MEYQ","Homozygous - Viable"
"Krt74","H-KRT74-H05-TM1B","Homozygous - Viable"
"Klhdc2","H-KLHDC2-G08-TM1B","Homozygous - Lethal"
"Cpsf3","MUAO","Homozygous - Subviable"
"Zfp182","MEHR","Homozygous - Viable"
"Ocm","MCRQ","Homozygous - Viable"
"2510002D24Rik","BL3747","Homozygous - Viable"
"Nmrk2","JR18638","Homozygous - Viable"
"Daam2","H-DAAM2-A09-TM1B","Homozygous - Viable"
"Atf3","H-ATF3-G02-TM1B","Homozygous - Viable"
"Dhrs2","MEZX","Homozygous - Viable"
"Card9","MFVJ","Homozygous - Viable"
"Lypd3","BL3368","Homozygous - Subviable"
"Gdf15","H-GDF15-B10-TM1B","Homozygous - Viable"
"Ptpmt1","UCD-13748A-B6-2-1","Homozygous - Lethal"
"C1rl","H-CR1RL-A04-TM1B","Homozygous - Viable"
"Zscan10","MDNC","Homozygous - Subviable"
"Gosr2","H-GORS2-F01-TM1B","Homozygous - Lethal"
"4932438H23Rik","MDUU","Homozygous - Viable"
"Parp8","JR23058","Homozygous - Viable"
"Ildr1","MFJM","Homozygous - Viable"
"Bag3","H-Bag3-B06-TM1B","Homozygous - Lethal"
"Fstl1","H-FSTL1-B07-TM1B","Homozygous - Viable"
"Sort1","H-SORT1-B03-TM1B","Homozygous - Subviable"
"Sh3gl2","TCPA0133Cre","Homozygous - Viable"
"Clmn","TCPM0541Cre","Homozygous - Viable"
"Panx1","BL1216","Homozygous - Viable"
"Kcnc2","BL3533","Homozygous - Viable"
"Cdkn1a","BL3423","Homozygous - Viable"
"3110035E14Rik","MELP","Homozygous - Viable"
"P2rx7","GSF-EPD0369_6_A06-1-1","Homozygous - Viable"
"Kcnh3","JR21140","Homozygous - Viable"
"Cldn13","JR24042","Homozygous - Viable"
"Pth2r","MDWU","Homozygous - Viable"
"Ints2","MEFL","Homozygous - Lethal"
"Bai1","MEMT","Homozygous - Viable"
"Htr3b","JR18615","Homozygous - Viable"
"Ift80","MEAN","Homozygous - Subviable"
"Srrm4","MDYA","Homozygous - Subviable"
"Rilpl2","JR21750","Homozygous - Viable"
"Timp3","JR18639","Homozygous - Viable"
"Stx3","JR24517","Homozygous - Lethal"
"Usp38","H-USP38-D12-TM1B","Homozygous - Viable"
"Dnajb3","JR18632","Homozygous - Viable"
"Dctn1","MDWE","Homozygous - Lethal"
"Aldh3a1","H-ALDH3A1-G05-TM1B-2","Homozygous - Viable"
"Cep164","H-CEP164-A03-TM1B","Homozygous - Lethal"
"C1qtnf7","BL2558","Homozygous - Viable"
"Mad1l1","BL3736","Homozygous - Subviable"
"Actr6","MEAC","Homozygous - Lethal"
"Prr15l","BL1367","Homozygous - Viable"
"Fan1","BL3227","Homozygous - Viable"
"Fbxw26","MUBR","Homozygous - Viable"
"Eci3","MUBM","Homozygous - Viable"
"Pfkfb4","BL988","Homozygous - Viable"
"Elmo3","BL3137","Homozygous - Viable"
"Nmral1","BL3685","Homozygous - Viable"
"Cox7c","JR21449","Homozygous - Lethal"
"Prokr1","JR18568","Homozygous - Viable"
"Aspm","MDVB","Homozygous - Viable"
"Hspb2","JR18619","Homozygous - Viable"
"3830417A13Rik","MECY","Homozygous - Viable"
"Clu","H-CLU-B02-TM1B","Homozygous - Viable"
"1110057K04Rik","HMGU-EPD0564_4_F01-1-1","Homozygous - Viable"
"Setd6","JR21482","Homozygous - Viable"
"BC027231","BL4087","Homozygous - Lethal"
"Col6a2","BL2238","Homozygous - Viable"
"Cml2","JR18586","Homozygous - Viable"
"Kcnj3","BL3601","Homozygous - Viable"
"Stxbp5l","BL2533","Homozygous - Viable"
"Stag3","JR21115","Homozygous - Viable"
"Gnpda2","BL1470","Homozygous - Viable"
"Pcdh18","BL2240","Homozygous - Viable"
"Aldoc","BL3551","Homozygous - Viable"
"Arhgef5","TCPA0703Cre","Homozygous - Viable"
"Ppp1r42","MDEF","Homozygous - Viable"
"4921536K21Rik","MFCN","Homozygous - Viable"
"Gsto2","MFYL","Homozygous - Viable"
"Nkg7","BL2496","Homozygous - Viable"
"Slc13a3","BL2456","Homozygous - Viable"
"Igsf11","JR21516","Homozygous - Viable"
"Sgip1","HMGU-HEPD0674_5_D09-1-1","Homozygous - Viable"
"Slc29a1","TCPA0572Cre","Homozygous - Viable"
"Snph","BL3752","Homozygous - Subviable"
"Klc2","MFAT","Homozygous - Viable"
"Dbn1","ET6714_TCP","Homozygous - Subviable"
"Tmem106b","BL3374","Homozygous - Viable"
"Acvr2b","BL3554","Homozygous - Subviable"
"A830019P07Rik","MENG","Homozygous - Viable"
"Rsad1","UCD-10291A-H7-2-1","Homozygous - Viable"
"Dennd1b","MFVH","Homozygous - Viable"
"Rnaseh2c","MDUP","Homozygous - Lethal"
"Myo15","MCXD","Homozygous - Viable"
"Dpy30","MFKN","Homozygous - Lethal"
"Tcte1","MEQN","Homozygous - Viable"
"Seh1l","MDJL","Homozygous - Lethal"
"Arhgef11","H-ARHGEF11-B05-TM1B","Homozygous - Viable"
"Cd300lg","MEYW","Homozygous - Viable"
"Usp11","MFVM","Homozygous - Viable"
"Dnase1l2","ET6691_TCP","Homozygous - Viable"
"Tpcn2","H-Tpcn2-C10-TM1B","Homozygous - Viable"
"Slc24a4","H-SLC24A4-H07-TM1B","Homozygous - Subviable"
"Rpa1","JR18691","Homozygous - Lethal"
"Zfyve28","MUCZ","Homozygous - Viable"
"Snrnp200","H-SNRNP200-E01-TM1B","Homozygous - Lethal"
"Lamb3","H-Lamb3-C12-TM1B","Homozygous - Viable"
"Lrrc15","JR23021","Homozygous - Viable"
"Fam210a","TCPM0583Cre","Homozygous - Lethal"
"Il12rb2","JR22303","Homozygous - Viable"
"Rab27b","JR23422","Homozygous - Viable"
"Cfap69","BL2398","Homozygous - Viable"
"B3gnt7","TCPA0005Cre","Homozygous - Viable"
"Nacad","MDYC","Homozygous - Viable"
"Fnbp1l","BL3070","Homozygous - Viable"
"Snx29","IP00005240a","Homozygous - Viable"
"Vsig8","JR23019","Homozygous - Viable"
"Satb1","IP00005408a","Homozygous - Lethal"
"Zcchc14","MERR","Homozygous - Viable"
"Supt4a","TCPM0565Cre","Homozygous - Lethal"
"Aph1c","H-APH1C-A03-TM1B","Homozygous - Viable"
"Map3k7","H-Map3k7-B11-TM1B","Homozygous - Lethal"
"Clstn1","H-CLSTN1-G03-TM1B","Homozygous - Viable"
"Idh1","TCPM0227Cre","Homozygous - Viable"
"Eif2b4","BL3079","Homozygous - Lethal"
"Ppp1r32","BL4340","Homozygous - Viable"
"Pcsk1","IP00005259a","Homozygous - Subviable"
"Iqce","IP00005274a","Homozygous - Viable"
"Mmrn1","H-MMRN1-G03-TM1B","Homozygous - Viable"
"Dcc","TCPA0700Cre","Homozygous - Lethal"
"Rock1","TCPA0571Cre","Homozygous - Subviable"
"Wnt3","MDJV","Homozygous - Lethal"
"Cwc27","JR22344","Homozygous - Subviable"
"Abcg2","JR23411","Homozygous - Viable"
"P2rx4","H-P2rx4-E09-TM1B","Homozygous - Viable"
"Ntf5","IP00005281a","Homozygous - Viable"
"Laptm4a","E184JM8N4-12","Homozygous - Viable"
"D17Wsu92e","BL1601","Homozygous - Viable"
"Unc119b","BL3750","Homozygous - Viable"
"Pdk1","BL3872","Homozygous - Viable"
"Abcc2","H-ABCC2-B03-TM1B","Homozygous - Viable"
"Gmnc","MUCY","Homozygous - Viable"
"Daf2","MFJK","Homozygous - Viable"
"Acot5","MFCQ","Homozygous - Viable"
"Acaa1a","MEAD","Homozygous - Viable"
"Crb2","MFET","Homozygous - Lethal"
"Eif4ebp3","BL3728","Homozygous - Viable"
"Chtf18","JR23317","Homozygous - Lethal"
"Frrs1l","H-FRRS1L-B11-TM1B","Homozygous - Subviable"
"Foxo3","JR22097","Homozygous - Viable"
"Tm9sf4","MDGW","Homozygous - Viable"
"Usp22","MDUW","Homozygous - Lethal"
"Nbeal2","MDVP","Homozygous - Viable"
"Phpt1","BL2475","Homozygous - Viable"
"Fam151a","BL3825","Homozygous - Viable"
"Lrrc2","TCPA0158Cre","Homozygous - Viable"
"Grm8","MEWE","Homozygous - Viable"
"Itsn2","BL3634","Homozygous - Viable"
"Tmem119","BL4068","Homozygous - Viable"
"Oxtr","RIKEN-13082A-C7","Homozygous - Viable"
"Kiss1r","BL3929","Homozygous - Viable"
"Lypd6","BL4231","Homozygous - Subviable"
"Rnf10","ET6713","Homozygous - Subviable"
"Mbd6","BL2325","Homozygous - Lethal"
"Wbscr17","BL3534","Homozygous - Viable"
"Scarf2","BL2327","Homozygous - Viable"
"Eif4ebp3","BL3728","Homozygous - Viable"
"Ptpdc1","BL3826","Homozygous - Viable"
"Tdrp","ET8169","Homozygous - Viable"
"Prkab1","JR21509","Homozygous - Subviable"
"Dnajc17","GSF-HEPD0546_1_F06-1-1","Homozygous - Lethal"
"Cabp1","H-Cabp1-H04-TM1B","Homozygous - Viable"
"Cd33","JR22016","Homozygous - Viable"
"Baiap2l2","IP00004537b","Homozygous - Viable"
"Ghrhr","JR19459","Homozygous - Viable"
"Cyfip2","MEPG","Homozygous - Lethal"
"Tmem254b","MFHM","Homozygous - Viable"
"Smco2","Smco2 EPD0382_4_B12","Homozygous - Viable"
"Gyg","GYGGB","Homozygous - Lethal"
"Krt17","JR23318","Homozygous - Viable"
"Dbn1","MCKS","Homozygous - Subviable"
"Pibf1","JR23601","Homozygous - Lethal"
"Pkn1","H-PKN1-D06-TM1B","Homozygous - Viable"
"Pitx3","JR22306","Homozygous - Viable"
"Fbp2","HMGU-HEPD0792_2_A11-1-1","Homozygous - Subviable"
"Smoc1","H-Smoc1-C03-TM1B","Homozygous - Subviable"
"Ric8b","H-Ric8b-C07-TM1B","Homozygous - Lethal"
"Igfbp3","H-Igfbp3-A08-TM1B","Homozygous - Viable"
"Avpi1","Monterotondo-HEPD0550_6_C05-2-1","Homozygous - Viable"
"Ehbp1l1","MFCC","Homozygous - Lethal"
"Mettl20","BL1856","Homozygous - Viable"
"Hcrt","BL3611","Homozygous - Viable"
"Gtf2b","TCPA0561Cre","Homozygous - Lethal"
"Tcf4","MDXP","Homozygous - Subviable"
"Rhox13","MUAA","Homozygous - Viable"
"Hibadh","MUDR","Homozygous - Viable"
"Map3k10","Monterotondo-HEPD0635_8_D03-1-1","Homozygous - Viable"
"Aldh1l1","HMGU-EPD0132_6_G09-3-1","Homozygous - Viable"
"Gtf2a1","MDEG","Homozygous - Lethal"
"Slc25a21","MSLD","Homozygous - Viable"
"Ago3","MEPR","Homozygous - Viable"
"Reg3g","MECP","Homozygous - Viable"
"L3mbtl2","MFPQ","Homozygous - Lethal"
"Dnajc5g","JR18616","Homozygous - Viable"
"Aim1","TCPM0584Cre","Homozygous - Lethal"
"Cpt2","MUDF","Homozygous - Subviable"
"Sypl","TCPM0573Cre","Homozygous - Viable"
"Ucn3","BL3800","Homozygous - Viable"
"Ap4e1","ET6689","Homozygous - Subviable"
"Lyplal1","ET4709","Homozygous - Viable"
"Rimklb","JR22346","Homozygous - Viable"
"Dennd1c","MUAT","Homozygous - Viable"
"Prom2","JR18576","Homozygous - Viable"
"Erp44","MEQJ","Homozygous - Subviable"
"Abca4","MCZT","Homozygous - Viable"
"Art4","MFCP","Homozygous - Viable"
"Abca6","TCPM0226Cre","Homozygous - Viable"
"Lonrf3","MEGU","Homozygous - Viable"
"Spink10","MEUY","Homozygous - Viable"
"Bbs5","H-BBS5-C06-TM1B-2","Homozygous - Viable"
"Rilpl1","HMGU-HEPD0718_1_B06-1-1","Homozygous - Viable"
"1700067K01Rik","MFLD","Homozygous - Lethal"
"Usp24","MESV","Homozygous - Viable"
"Pth1r","MFUV","Homozygous - Lethal"
"Adcy2","MDZW","Homozygous - Viable"
"Abca8b","BL2226","Homozygous - Viable"
"Pear1","MFEB","Homozygous - Viable"
"Acer1","MFUH","Homozygous - Viable"
"Pld5","MCSQ","Homozygous - Viable"
"BC089597","MFCV","Homozygous - Viable"
"Cbln3","JR18556","Homozygous - Viable"
"Ube2u","H-UBE2U-F06-TM1B","Homozygous - Viable"
"Cfi","H-CFI-F03-TM1B","Homozygous - Viable"
"Ttll11","MELC","Homozygous - Viable"
"Pcnxl3","H-PCNXL3-H10-TM1B","Homozygous - Viable"
"Chmp4c","H-CHMP4C-B10-TM1B","Homozygous - Viable"
"1500011B03Rik","MCMM","Homozygous - Viable"
"G3bp2","MDWN","Homozygous - Lethal"
"Ngrn","MFDK","Homozygous - Lethal"
"Smpd4","MUBD","Homozygous - Subviable"
"Wnt16","MUBC","Homozygous - Viable"
"Sox18","JR23020","Homozygous - Viable"
"Rundc1","MUAV","Homozygous - Subviable"
"Atp2b1","TCPM0549Cre","Homozygous - Subviable"
"Lrfn2","BL4306","Homozygous - Viable"
"Med22","MFHW","Homozygous - Lethal"
"Dlg2","MDLX","Homozygous - Viable"
"Cd109","TCPA0008Cre","Homozygous - Viable"
"Calcoco2","MDHD","Homozygous - Viable"
"1700008O03Rik","MFDF","Homozygous - Viable"
"Uevld","MFTT","Homozygous - Viable"
"Lpin3","BL1459","Homozygous - Viable"
"Kmo","ET4569","Homozygous - Viable"
"Snai2","BL3612","Homozygous - Subviable"
"Pdk4","BL3426","Homozygous - Viable"
"Col4a3bp","MFGR","Homozygous - Subviable"
"Mrap2","MDSU","Homozygous - Viable"
"Tppp","JR24900","Homozygous - Viable"
"Primpol","H-Ccdc111-E02-TM1B","Homozygous - Viable"
"Krt7","MUCU","Homozygous - Viable"
"Rundc1","MELE","Homozygous - Lethal"
"Actn4","MCZU","Homozygous - Subviable"
"Mlec","MDXK","Homozygous - Viable"
"Rxfp2","GSF-EPD0243_5_D11-1-1","Homozygous - Viable"
"Ubox5","TCPM0208Cre","Homozygous - Viable"
